Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Brian Matusz","BAL",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,2.0652942657470703,2646
"Total","Brett Cecil","2 Tms",7,7,22.5,2,0,0,5,5,1,0,0,0,1,0.333333333,0.333333333,0.833333333,0.4763899544874827,2660
"Total","Fabio Castillo","LAD",1,2,18,1,0,0,2,2,0,1,0,0,0,1,1,1,0.7848314344882965,2826
"Total","Jake Brigham","ATL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851
"Total","Ross Detwiler","3 Tms",3,3,9.00000009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2859
"Total","Santiago Casilla","OAK",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2873
"Total","Luis Avilan","4 Tms",10,12,4.5,2,0,0,4,2,0,0,0,0,2,0.166666666,0.166666666,0.166666666,0.14634996155897775,2882
"Total","Zach McAllister","CLE",10,16,15.42857145,5,1,0,4,4,0,3,0,0,1,0.384615384,0.5,0.461538461,0.4267897978425026,2895
"Total","Josh Ravin","LAD",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2951
"Total","Tony Watson","4 Tms",15,22,7.20000001,6,0,0,5,4,1,1,0,0,3,0.352941176,0.35,0.529411764,0.3515205174684525,3132
"Total","Tim Collins","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3164
"Total","David Price","2 Tms",5,8,18.00000018,4,0,0,2,2,0,0,0,1,2,0.571428571,0.625,0.571428571,0.5303686559200287,3184
"Total","Will Harris","2 Tms",8,8,0,1,0,0,1,0,0,0,0,0,4,0.125,0.125,0.125,0.1103157252073288,3192
"Total","Chris Young","KCR",4,5,18,1,0,0,2,2,0,1,0,0,0,0.25,0.4,0.25,0.31345616579055785,3196
"Total","Francisco Liriano","2 Tms",5,5,5.40000002,0,0,0,1,1,0,1,0,0,1,0,0.2,0,0.13805890083312988,3201
"Total","Jean Machi","2 Tms",2,3,27.00000027,2,1,0,2,1,0,0,0,0,0,0.666666666,0.666666666,1,0.7123647928237915,3220
"Total","T.J. McFarland","3 Tms",18,21,7.71428573,6,2,0,6,4,0,1,0,0,0,0.375,0.368421052,0.5,0.3509183306443064,3237
"Total","Roberto Hernandez","HOU",1,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,3273
"Total","Joe Smith","3 Tms",5,8,5.40000002,1,0,0,1,1,0,1,0,1,1,0.166666666,0.375,0.166666666,0.28615986555814743,3281
"Total","Nate Adcock","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282
"Total","Anibal Sanchez","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284
"Total","Hector Noesi","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292
"Total","Chris Hatcher","2 Tms",3,8,0,2,0,0,1,0,0,2,0,0,1,0.4,0.5,0.4,0.3934544771909714,3299
"Total","Darren O'Day","2 Tms",4,4,9.00000009,1,0,0,1,1,0,0,0,0,1,0.25,0.25,0.25,0.22020596265792847,3321
"Total","Cesar Ramos","2 Tms",6,7,5.40000002,0,0,0,1,1,0,2,0,0,1,0,0.333333333,0,0.22894767920176187,3357
"Total","Ubaldo Jimenez","BAL",1,1,18,1,0,0,2,2,1,0,0,0,0,1,1,4,2.014758825302124,3374
"Total","Jumbo Diaz","2 Tms",10,11,2.69999999,1,0,0,1,1,0,0,0,0,5,0.09090909,0.09090909,0.09090909,0.07985946806994351,3397
"Total","Andre Rienzo","MIA",1,3,36,1,0,1,4,4,0,2,1,0,0,1,1,3,1.1405078172683716,3507
"Total","Danny Duffy","KCR",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3542
"Total","Liam Hendriks","2 Tms",5,9,0,3,0,0,0,0,0,2,0,0,1,0.428571428,0.555555555,0.428571428,0.4459335406621297,3548
"Total","Clayton Richard","2 Tms",3,3,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333,0,0.24030303955078125,3551
"Total","Tony Barnette","TEX",10,11,13.49999998,3,1,0,5,4,0,0,0,0,3,0.3,0.272727272,0.4,0.2729452577504245,3555
"Total","Jim Johnson","3 Tms",7,8,0,0,0,0,0,0,0,1,0,0,2,0,0.125,0,0.08619119971990585,3656
"Total","Cesar Jimenez","MIL",1,1,27,1,0,0,3,3,1,0,0,0,0,1,1,4,2.0652942657470703,3762
"Total","Zach Duke","4 Tms",11,16,5.40000001,6,2,0,2,2,0,0,0,0,3,0.4,0.4,0.533333333,0.4004227161407471,3840
"Total","Rubby De La Rosa","ARI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3862
"Total","Gavin Floyd","CLE",2,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.22894767920176187,3886
"Total","Enrique Burgos","ARI",3,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17265300452709198,3895
"Total","Casey Fien","3 Tms",5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3926
"Total","Matt Magill","2 Tms",6,12,32.39999994,5,0,0,6,6,0,3,0,0,1,0.555555555,0.666666666,0.555555555,0.5389961649974188,3950
"Total","David Carpenter","NYY",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3959
"Total","Edward Mujica","3 Tms",4,4,4.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3970
"Total","Allen Webster","CHC",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3993
"Total","Enny Romero","3 Tms",6,7,0,1,0,0,0,0,0,0,0,0,2,0.166666666,0.142857142,0.166666666,0.12549344982419694,4001
"Total","Yusmeiro Petit","2 Tms",12,14,13.50000001,4,0,0,5,5,1,1,1,0,2,0.307692307,0.357142857,0.538461538,0.35212714396990263,4020
"Total","Hector Santiago","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4026
"Total","Brian Duensing","3 Tms",4,5,9,1,0,0,1,1,0,0,0,0,2,0.2,0.2,0.2,0.17569082975387573,4064
"Total","Pedro Strop","2 Tms",10,14,12,4,1,0,5,4,1,1,0,0,7,0.307692307,0.357142857,0.615384615,0.40878080470221384,4070
"Total","Junichi Tazawa","3 Tms",6,11,47.25000012,6,1,1,8,7,0,0,0,0,0,0.666666666,0.6,1,0.6341326236724854,4079
"Total","Erik Cordier","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4086
"Total","Luke Gregerson","2 Tms",4,6,40.50000041,3,0,0,3,3,1,1,0,0,0,0.6,0.666666666,1.2,0.7376024524370829,4090
"Total","Carlos Villanueva","2 Tms",4,5,6.75000002,1,1,0,1,1,0,0,0,0,1,0.25,0.25,0.5,0.31406763195991516,4138
"Total","Derek Holland","2 Tms",6,11,22.5,3,0,1,5,5,0,1,0,1,3,0.333333333,0.454545454,0.555555555,0.4261080405928872,4141
"Total","Edward Paredes","LAD",2,4,0,3,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.657501608133316,4168
"Total","Rafael Dolis","TOR",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4185
"Total","David Hernandez","3 Tms",12,13,0,2,1,0,0,0,0,0,0,0,6,0.153846153,0.153846153,0.23076923,0.16116294952539298,4259
"Total","Mark Melancon","SFG",3,2,13.49999993,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4264
"Total","Manny Parra","CIN",2,4,135.00000135,3,1,0,5,5,0,0,0,0,0,1,1,1.333333333,1.0059727430343628,4279
"Total","Matt Albers","3 Tms",10,14,6.75000002,6,0,0,4,2,0,0,0,0,1,0.428571428,0.428571428,0.428571428,0.3755933812686375,4300
"Total","Justin Wilson","3 Tms",15,19,9.64285716,4,1,0,6,5,0,0,0,0,6,0.210526315,0.210526315,0.263157894,0.20500417132126658,4301
"Total","Tyler Chatwood","2 Tms",4,5,18,2,0,0,2,2,0,0,0,0,1,0.4,0.4,0.4,0.3478429079055786,4338
"Total","Kyle Drabek","ARI",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4359
"Total","Craig Breslow","3 Tms",8,7,6.75000002,1,0,0,2,2,0,0,0,0,1,0.25,0.166666666,0.25,0.14640902479489645,4363
"Total","Mitch Harris","STL",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,4530
"Total","Jason Hammel","KCR",1,2,9,1,0,0,1,1,0,1,0,0,0,1,1,1,0.7845301628112793,4538
"Total","Chris Smith","OAK",1,2,18,1,0,0,2,2,0,1,0,0,0,1,1,1,0.7845330834388733,4544
"Total","Joe Thatcher","HOU",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,4620
"Total","Brandon McCarthy","LAD",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4662
"Total","Sam LeCure","CIN",1,2,27.00000027,1,1,0,1,1,0,0,0,0,0,0.5,0.5,1,0.6281352639198303,4664
"Total","Pat Neshek","3 Tms",7,8,0,1,0,0,0,0,0,0,0,0,1,0.142857142,0.125,0.142857142,0.10980676859617233,4682
"Total","Jeff Francis","TOR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4684
"Total","Nate Jones","2 Tms",4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4696
"Total","Matt Cain","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4732
"Total","Donnie Veal","ATL",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,4741
"Total","Jonathan Broxton","STL",5,4,6.75000002,0,0,0,1,1,0,0,0,0,2,0,0,0,0,4759
"Total","Vinnie Pestano","LAA",2,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.22894767920176187,4782
"Total","Rich Hill","SDP",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4806
"Total","Joe Blanton","3 Tms",6,6,20.25000005,3,0,0,3,3,1,0,0,0,0,0.5,0.5,1,0.6367362042268118,4849
"Total","Ryan Kelly","ATL",1,1,9,1,0,0,1,1,1,0,0,0,0,1,1,4,2.0652942657470703,4858
"Total","Mike Montgomery","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4869
"Total","Brandon Maurer","SDP",4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4878
"Total","Peter Moylan","2 Tms",6,6,0,0,0,0,0,0,0,0,0,1,3,0,0.166666666,0,0.12043649951616923,4891
"Total","Justin De Fratus","PHI",5,10,40.5000001,4,0,0,6,6,1,2,0,0,2,0.571428571,0.666666666,1,0.6757168769836426,4955
"Total","Fernando Salas","3 Tms",12,13,7.36363638,2,1,0,3,3,1,0,0,0,4,0.2,0.2,0.6,0.3212053894996643,4971
"Total","Fernando Abad","4 Tms",8,9,12,2,0,0,4,4,1,0,0,0,1,0.25,0.222222222,0.625,0.32688478628794354,4994
"Total","Jake Diekman","6 Tms",17,20,18.00000007,3,0,0,10,10,2,3,0,2,3,0.23076923,0.421052631,0.692307692,0.4461498542835838,5003
"Total","Bo Schultz","TOR",1,3,54.00000054,1,1,0,3,2,0,0,0,0,0,0.333333333,0.333333333,0.666666666,0.4187568426132202,5028
"Total","Dale Thayer","SDP",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032
"Total","Josh Fields","2 Tms",4,4,9.00000009,0,0,0,1,1,0,1,0,0,2,0,0.25,0,0.1717107594013214,5070
"Total","Franklin Morales","KCR",4,7,26.99999995,3,2,0,5,5,0,0,0,0,0,0.6,0.428571428,1,0.48476641518729074,5088
"Total","Jeurys Familia","4 Tms",9,12,0,0,0,0,0,0,0,3,0,0,2,0,0.272727272,0,0.18798210404135965,5114
"Total","Brandon Mann","TEX",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3447647988796234,5172
"Total","Ernesto Frieri","TEX",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5178
"Total","Mike Pelfrey","CHW",1,2,18,2,0,0,2,2,0,0,0,0,0,1,1,1,0.8766688108444214,5203
"Total","Wade LeBlanc","3 Tms",4,7,0,2,1,0,2,0,0,0,0,0,1,0.333333333,0.285714285,0.5,0.3029248118400574,5221
"Total","Blake Parker","4 Tms",10,11,9,2,0,0,3,3,1,0,0,0,5,0.181818181,0.181818181,0.454545454,0.25537666949358856,5224
"Total","Vin Mazzaro","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5231
"Total","Wilmer Font","NYM",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5257
"Total","Chris Tillman","BAL",2,1,13.49999993,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5279
"Total","Samuel Deduno","HOU",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285
"Total","Jose Alvarez","2 Tms",9,9,15.42857145,3,1,0,4,4,0,0,0,0,1,0.375,0.375,0.5,0.375076562166214,5358
"Total","Manny Banuelos","3 Tms",4,7,13.50000003,1,0,0,2,2,0,1,0,0,0,0.2,0.285714285,0.2,0.22465639454977854,5365
"Total","Brad Peacock","2 Tms",3,5,27.00000027,1,1,0,2,2,0,1,0,0,1,0.25,0.4,0.5,0.38667261600494385,5401
"Total","Pedro Baez","2 Tms",14,16,17.18181817,2,0,0,7,7,1,2,0,1,6,0.181818181,0.333333333,0.454545454,0.33306490580240883,5420
"Total","Jesse Chavez","5 Tms",16,20,11.25,5,0,0,6,5,1,2,0,0,6,0.277777777,0.35,0.444444444,0.34408819377422334,5448
"Total","Dana Eveland","TBR",3,4,9,0,0,0,1,1,0,1,0,0,0,0,0.25,0,0.17265300452709198,5508
"Total","Boone Logan","COL",4,5,0,0,0,0,0,0,0,1,0,0,2,0,0.2,0,0.13736860752105712,5525
"Total","Nik Turley","PIT",2,3,40.4999998,1,1,0,3,3,0,0,0,0,0,0.5,0.333333333,1,0.41270073254903156,5530
"Total","Phil Coke","2 Tms",2,3,0,1,0,0,1,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2928180495897929,5535
"Total","Ryan Brasier","2 Tms",9,10,2.7,1,0,0,1,1,0,0,0,0,1,0.1,0.1,0.1,0.08838508129119874,5615
"Total","Tyler Clippard","4 Tms",7,11,0,3,0,0,0,0,0,1,0,0,1,0.375,0.4,0.375,0.3337107002735138,5640
"Total","Brooks Brown","COL",3,4,9,1,1,0,1,1,0,0,0,0,1,0.25,0.25,0.5,0.31406763195991516,5679
"Total","Junior Guerra","4 Tms",9,14,26.99999992,4,0,0,7,7,2,3,0,1,1,0.4,0.571428571,1,0.6086197112287793,5702
"Total","Eric O'Flaherty","2 Tms",5,4,27.00000007,1,0,0,4,4,0,0,0,0,2,0.25,0.25,0.25,0.21961353719234467,5746
"Total","Hernan Perez","MIL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5751
"Total","Bruce Rondon","2 Tms",6,10,13.5,2,1,0,3,3,0,2,0,0,2,0.333333333,0.444444444,0.5,0.38895660638809204,5766
"Total","Jorge Rondon","2 Tms",3,3,13.50000003,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5791
"Total","Jhan Marinez","2 Tms",6,6,3.85714286,1,0,0,1,1,0,0,0,0,1,0.166666666,0.166666666,0.166666666,0.14611146847407022,5830
"Total","Radhames Liz","PIT",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3434215188026428,5843
"Total","Jason Motte","3 Tms",5,8,10.79999998,4,2,0,2,2,0,0,0,0,1,0.571428571,0.571428571,0.857142857,0.6041872586522784,5861
"Total","Gonzalez Germen","2 Tms",3,4,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.23020400603612265,5876
"Total","Randall Delgado","ARI",11,14,30,4,2,0,10,10,0,2,0,0,1,0.363636363,0.428571428,0.545454545,0.40148372309548513,5985
"Total","Sugar Ray Marimon","ATL",1,1,18,0,0,0,2,2,0,1,0,0,0,0,1,0,0.6868430376052856,6027
"Total","Kelvin Herrera","2 Tms",6,7,0,0,0,0,0,0,0,1,0,0,1,0,0.142857142,0,0.09812043394361224,6033
"Total","Huascar Brazoban","MIA",3,3,13.49999993,1,0,0,1,1,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2941787640253703,6107
"Total","Albert Suarez","SFG",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6175
"Total","Dellin Betances","NYY",12,13,9.81818184,2,2,0,4,4,0,0,0,0,7,0.153846153,0.153846153,0.307692307,0.19107992832477277,6216
"Total","Tom Gorzelanny","DET",1,2,0,2,1,0,0,0,0,0,0,0,0,1,1,1.5,1.0685471892356873,6244
"Total","Trevor Cahill","4 Tms",8,9,7.71428573,2,1,0,2,2,0,0,0,0,2,0.222222222,0.222222222,0.333333333,0.23180794053607517,6249
"Total","Scott Feldman","2 Tms",3,5,108.00000108,3,0,0,5,4,2,0,0,0,1,0.6,0.6,1.8,0.9815943598747253,6283
"Total","David Phelps","3 Tms",12,13,11.25,3,0,0,5,5,0,0,0,0,3,0.272727272,0.23076923,0.272727272,0.20341311051295355,6316
"Total","Esmil Rogers","NYY",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6317
"Total","Al Alburquerque","2 Tms",5,5,33.75000008,1,0,0,5,5,0,1,0,0,1,0.25,0.4,0.25,0.3135333776473999,6324
"Total","Chris Archer","TBR",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6345
"Total","Trevor May","3 Tms",14,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6398
"Total","Jose Cisnero","DET",13,14,1.92857143,1,0,0,1,1,0,1,0,0,5,0.083333333,0.153846153,0.083333333,0.12010183242651132,6399
"Total","Stolmy Pimentel","TEX",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6415
"Total","Tim Stauffer","2 Tms",2,2,13.49999993,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.3434215188026428,6432
"Total","Vance Worley","2 Tms",2,2,13.50000014,1,0,0,1,1,0,0,0,0,0,1,1,1,0.8784541487693787,6435
"Total","Kevin Jepsen","3 Tms",8,10,5.40000001,2,0,0,2,2,1,0,0,0,3,0.222222222,0.2,0.555555555,0.2909282624721527,6475
"Total","Steve Cishek","7 Tms",18,23,9.52941178,5,1,0,6,6,1,1,0,1,8,0.25,0.318181818,0.45,0.33126247741959314,6483
"Total","Blaine Hardy","DET",11,14,0,1,0,0,0,0,0,2,1,0,3,0.09090909,0.23076923,0.09090909,0.13075502713521323,6499
"Total","Tom Koehler","TOR",2,2,54.00000054,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,0.9899427890777588,6570
"Total","Robert Stock","2 Tms",7,6,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0.13805890083312988,6576
"Total","Marc Rzepczynski","5 Tms",14,20,5.40000001,3,0,0,4,3,0,4,0,1,5,0.2,0.4,0.2,0.30608347356319426,6612
"Total","Brad Brach","4 Tms",11,15,13.50000001,4,0,1,5,5,1,1,0,0,4,0.333333333,0.357142857,0.75,0.42472679700170246,6627
"Total","Jim Henderson","NYM",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.34530600905418396,6653
"Total","Alex Colome","3 Tms",7,8,7.71428569,1,1,0,2,2,0,0,0,0,3,0.142857142,0.125,0.285714285,0.15703381597995758,6661
"Total","Miguel Socolovich","STL",4,5,9,2,0,0,2,1,0,0,0,0,0,0.4,0.4,0.4,0.35066752433776854,6697
"Total","Tyler Sturdevant","TBR",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6780
"Total","Andrew Miller","2 Tms",9,10,13.50000007,3,0,0,4,3,0,1,0,0,3,0.333333333,0.4,0.333333333,0.3309986412525177,6785
"Total","Julio Teheran","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797
"Total","Robbie Ross Jr.","BOS",7,8,3.85714286,0,0,0,1,1,0,1,0,0,3,0,0.125,0,0.08632650226354599,6819
"Total","Sam Freeman","3 Tms",10,11,3.375,3,0,0,1,1,0,1,0,0,0,0.375,0.444444444,0.375,0.3696364826626248,6832
"Total","Jeff Manship","CLE",4,7,0,2,0,0,0,0,0,1,0,0,1,0.4,0.428571428,0.4,0.3494458624294826,6865
"Total","Marcos Mateo","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6869
"Total","Martin Perez","3 Tms",3,6,27.00000027,2,1,0,3,3,0,1,0,0,1,0.4,0.5,0.6,0.4672773579756419,6902
"Total","Eddie Gamboa","TBR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6911
"Total","Joakim Soria","5 Tms",8,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6941
"Total","Luke Hochevar","KCR",4,6,0,1,0,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.31381323337554934,6943
"Total","Yohan Pino","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6955
"Total","Drew Storen","3 Tms",8,10,3.375,2,0,0,1,1,0,0,0,1,4,0.25,0.3,0.25,0.24760320782661438,6983
