Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Steve Cishek","4 Tms",5,5,0,2,0,0,0,0,0,0,0,0,1,0.666666666,0.4,0.666666666,0.3500862240791321,6483
"Total","Marc Rzepczynski","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612
"Total","Brad Brach","2 Tms",2,1,9,1,1,0,1,1,0,0,0,0,0,1,1,2,1.2416465282440186,6627
"Total","Alex Colome","TBR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6661
"Total","Julio Teheran","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797
"Total","Sam Freeman","2 Tms",2,1,27.00000027,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6832
"Total","Martin Perez","TEX",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6902
"Total","Luke Hochevar","KCR",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6943
"Total","Ryan Pressly","MIN",2,3,0,0,0,0,0,0,0,1,0,0,2,0,0.333333333,0,0.22984319925308228,7005
"Total","Alex Torres","NYM",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7038
"Total","Fernando Cruz","CIN",2,3,13.49999993,1,0,0,1,1,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.2941787640253703,7048
"Total","Daniel Bard","COL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7115
"Total","Ryan Mattheus","CIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7169
"Total","Craig Stammen","SDP",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7274
"Total","Javy Guerra","LAA",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7407
"Total","Tommy Layne","BOS",1,3,81.00000081,1,0,0,3,3,0,1,0,0,0,1,0.666666666,1,0.5225556294123331,7501
"Total","Jake McGee","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7550
"Total","Nick Vincent","SEA",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7555
"Total","Carlos Torres","2 Tms",2,2,0,1,1,0,0,0,0,0,0,0,1,0.5,0.5,1,0.6281352639198303,7624
"Total","Hunter Strickland","SFG",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7836
"Total","Cory Gearrin","2 Tms",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7947
"Total","Anthony Bass","2 Tms",2,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,7982
