Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","David Price","LAD",5,9,5.40000002,3,1,0,1,1,0,1,1,0,2,0.375,0.444444444,0.5,0.3786473274230957,3184
"Total","Will Harris","2 Tms",22,28,6.00000001,6,0,0,5,4,0,4,0,0,9,0.25,0.357142857,0.25,0.28751676848956514,3192
"Total","Chris Young","KCR",3,2,27.00000027,0,0,0,1,1,0,1,0,0,0,0,0.5,0,0.34530600905418396,3196
"Total","Ervin Santana","KCR",5,5,6.75000002,1,0,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.17581106424331666,3200
"Total","Francisco Liriano","2 Tms",5,5,13.49999993,1,0,0,2,2,0,0,0,0,3,0.2,0.2,0.2,0.1739214539527893,3201
"Total","Jean Machi","2 Tms",7,7,13.49999993,2,1,0,2,2,0,1,0,0,1,0.333333333,0.428571428,0.5,0.4034196308680943,3220
"Total","T.J. McFarland","4 Tms",21,25,9.52941178,5,2,0,7,6,1,3,0,0,5,0.227272727,0.32,0.454545454,0.3348668122291565,3237
"Total","Zack Britton","2 Tms",65,78,6.75,13,1,0,18,14,0,8,3,0,18,0.185714285,0.269230769,0.2,0.20348341147104898,3240
"Total","Jordan Walden","STL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271
"Total","Roberto Hernandez","HOU",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273
"Total","Joe Smith","4 Tms",17,22,43.20000017,8,1,0,16,16,3,4,3,0,1,0.444444444,0.545454545,1,0.602236807346344,3281
"Total","Anibal Sanchez","DET",2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3284
"Total","Hector Noesi","CHW",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3292
"Total","Charlie Culberson","ATL",3,4,13.49999993,1,0,0,1,1,0,1,0,0,0,0.333333333,0.5,0.333333333,0.3924563080072403,3298
"Total","Chris Hatcher","2 Tms",19,20,12.59999997,3,1,0,8,7,1,1,1,0,8,0.157894736,0.2,0.368421052,0.21668315561194168,3299
"Total","Darren O'Day","2 Tms",19,19,7.20000001,1,0,0,5,4,0,3,1,0,2,0.0625,0.210526315,0.0625,0.1262571778562334,3321
"Total","Cesar Ramos","2 Tms",4,5,6.75000002,1,0,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.17616477012634277,3357
"Total","Miguel Montero","CHC",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3464970290660858,3364
"Total","Cliff Pennington","CIN",1,3,27.00000027,1,1,0,1,1,0,1,0,0,1,0.5,0.666666666,1,0.645601491133372,3395
"Total","Jumbo Diaz","2 Tms",4,6,9,1,1,0,2,1,0,1,1,0,2,0.2,0.333333333,0.4,0.2464336633682251,3397
"Total","Drew Butera","2 Tms",4,8,13.50000003,1,0,0,2,2,0,3,0,0,0,0.2,0.5,0.2,0.36851494014263153,3411
"Total","Danny Duffy","KCR",2,3,0,0,0,0,0,0,0,1,0,0,2,0,0.333333333,0,0.23020400603612265,3542
"Total","Clay Buchholz","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543
"Total","Liam Hendriks","3 Tms",64,75,6.87272727,14,1,0,14,14,2,6,3,0,29,0.20289855,0.266666666,0.304347826,0.23680711620383793,3548
"Total","Clayton Richard","CHC",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.7209091186523438,3551
"Total","Tony Barnette","TEX",7,7,6.75000002,0,0,0,4,1,0,3,1,0,1,0,0.428571428,0,0.2306010127067566,3555
"Total","Brian Schlitter","CHC",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599
"Total","Kyle Davies","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642
"Total","Jim Johnson","2 Tms",29,40,10.5652174,9,0,1,9,9,0,8,2,1,7,0.29032258,0.45,0.354838709,0.35492322005723653,3656
"Total","Zach Duke","3 Tms",8,8,3.85714285,1,0,0,1,1,0,0,0,0,2,0.125,0.125,0.125,0.10980676859617233,3840
"Total","Brett Oberholtzer","PHI",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855
"Total","Gavin Floyd","TOR",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3886
"Total","Enrique Burgos","ARI",1,2,0,1,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.44041192531585693,3895
"Total","Casey Fien","3 Tms",4,3,40.50000041,1,0,0,3,3,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.29222293694814044,3926
"Total","Matt Magill","2 Tms",12,15,9.81818184,3,1,0,4,4,0,1,0,0,3,0.214285714,0.266666666,0.285714285,0.24496912956237793,3950
"Total","David Carpenter","2 Tms",2,3,54.00000054,2,1,0,2,2,0,0,0,0,1,0.666666666,0.666666666,1,0.7123647928237915,3959
"Total","Edward Mujica","OAK",2,3,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2936079502105713,3970
"Total","Edinson Volquez","TEX",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990
"Total","Allen Webster","2 Tms",3,6,26.99999987,2,0,0,6,2,1,1,0,0,1,0.4,0.5,1,0.6041993399461111,3993
"Total","Enny Romero","3 Tms",19,26,15.42857145,7,1,0,10,8,0,3,1,0,6,0.304347826,0.384615384,0.347826086,0.3154119324684143,4001
"Total","Marcus Hatley","STL",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4002
"Total","Yusmeiro Petit","4 Tms",15,17,3.85714286,3,0,1,3,2,1,0,0,0,3,0.176470588,0.176470588,0.470588235,0.25574157869114594,4020
"Total","Hector Santiago","3 Tms",10,13,3,1,1,0,1,1,0,3,0,0,4,0.1,0.307692307,0.2,0.2527117683337285,4026
"Total","Steve Johnson","SEA",2,3,0,0,0,0,0,0,0,1,0,0,1,0,0.333333333,0,0.23020400603612265,4053
"Total","Brian Duensing","3 Tms",10,10,22.50000011,2,0,0,5,5,0,2,0,0,1,0.25,0.4,0.25,0.31314955949783324,4064
"Total","Pedro Strop","CHC",21,27,5.68421053,5,1,0,4,4,0,3,1,0,11,0.208333333,0.296296296,0.25,0.23534011611571679,4070
"Total","Junichi Tazawa","3 Tms",11,16,10.80000001,4,1,0,4,4,0,3,0,0,2,0.307692307,0.4375,0.384615384,0.3726223595440388,4079
"Total","Dan Runzler","PIT",1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0.8766688108444214,4080
"Total","Erick Aybar","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082
"Total","James Russell","CHC",5,7,18,2,1,0,5,2,0,0,0,0,1,0.285714285,0.285714285,0.428571428,0.3052991969244821,4089
"Total","Luke Gregerson","2 Tms",32,40,8.67857143,8,0,1,10,9,0,2,1,1,10,0.216216216,0.275,0.27027027,0.2350336450796861,4090
"Total","Carlos Villanueva","2 Tms",3,5,27,2,1,0,3,3,0,0,0,0,1,0.4,0.4,0.6,0.4274188756942749,4138
"Total","Derek Holland","3 Tms",11,12,0,0,0,0,0,0,0,1,0,0,6,0,0.083333333,0,0.05764304598172506,4141
"Total","Rafael Dolis","TOR",10,15,8.10000001,3,1,0,3,3,1,2,1,0,5,0.23076923,0.333333333,0.538461538,0.3447165531771524,4185
"Total","David Hernandez","4 Tms",12,14,2.25,1,1,0,1,1,0,1,0,0,3,0.076923076,0.142857142,0.153846153,0.13839781284332275,4259
"Total","Mark Melancon","6 Tms",91,117,7.51898734,22,1,0,29,22,1,13,5,1,23,0.213592233,0.307692307,0.252427184,0.24260737959827697,4264
"Total","Manny Parra","CIN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4279
"Total","Matt Albers","3 Tms",18,20,0,2,0,0,1,0,0,2,1,0,4,0.111111111,0.2,0.111111111,0.12883090345483078,4300
"Total","Justin Wilson","5 Tms",32,38,10.38461538,8,3,0,12,10,0,4,0,0,14,0.235294117,0.315789473,0.323529411,0.2865529954433441,4301
"Total","Tyler Chatwood","4 Tms",8,10,22.50000011,2,0,0,5,5,1,1,0,1,0,0.25,0.4,0.625,0.4229853928089142,4338
"Total","Craig Breslow","4 Tms",8,11,18,1,0,0,4,4,0,4,0,0,0,0.142857142,0.454545454,0.142857142,0.33164075829766015,4363
"Total","Erik Kratz","PIT",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4403
"Total","Jordan Zimmermann","DET",1,2,27.00000027,1,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.43922707438468933,4505
"Total","Mitch Harris","STL",2,3,81.00000081,2,0,0,3,3,1,0,0,0,0,0.666666666,0.666666666,1.666666666,0.9820393721262614,4530
"Total","Jason Hammel","KCR",3,3,81.00000081,2,0,0,3,3,1,0,0,0,1,0.666666666,0.666666666,1.666666666,0.9701197346051534,4538
"Total","Chris Smith","OAK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4544
"Total","Russell Martin","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4616
"Total","Joe Thatcher","HOU",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4620
"Total","Pat Neshek","3 Tms",12,19,4.90909092,4,1,0,3,2,0,3,2,0,0,0.25,0.368421052,0.3125,0.26860050944721,4682
"Total","Nate Jones","CHW",13,16,0,0,0,0,0,0,0,3,2,0,5,0,0.1875,0,0.04925211412566049,4696
"Total","Matt Cain","SFG",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4732
"Total","Sergio Santos","LAD",4,5,0,1,0,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.17616477012634277,4734
"Total","Jonathan Broxton","2 Tms",12,19,16.20000002,6,1,1,7,6,1,3,1,0,3,0.375,0.47368421,0.75,0.4951651891072591,4759
"Total","Matt Shoemaker","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4776
"Total","Vinnie Pestano","LAA",1,2,0,0,0,0,0,0,0,1,1,0,1,0,0.5,0,0,4782
"Total","Joe Blanton","3 Tms",10,15,6,2,0,0,2,2,1,4,1,0,1,0.181818181,0.4,0.454545454,0.35209896734782625,4849
"Total","Ryan Kelly","ATL",5,5,27,1,0,0,4,3,1,1,0,0,1,0.25,0.4,1,0.5504274606704712,4858
"Total","Mike Montgomery","2 Tms",11,18,10.79999998,4,1,0,5,4,0,3,0,0,4,0.266666666,0.388888888,0.333333333,0.3291697833273146,4869
"Total","Brandon Maurer","2 Tms",39,51,14.34375,15,4,0,17,17,1,5,2,0,10,0.326086956,0.392156862,0.478260869,0.3633573213402106,4878
"Total","Peter Moylan","2 Tms",8,8,16.19999997,2,0,0,3,3,0,1,0,0,1,0.285714285,0.375,0.285714285,0.3068302199244499,4891
"Total","Joe Colon","CLE",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920
"Total","Justin De Fratus","PHI",1,3,27.00000027,1,0,0,1,1,0,1,0,0,0,0.5,0.666666666,0.5,0.5225556294123331,4955
"Total","Fernando Salas","3 Tms",18,25,18.69230766,7,2,0,9,9,1,5,2,0,2,0.35,0.48,0.6,0.44048331872276636,4971
"Total","Fernando Abad","4 Tms",12,14,4.90909092,2,0,0,2,2,0,1,0,0,2,0.153846153,0.214285714,0.153846153,0.17469535555158341,4994
"Total","Jake Diekman","7 Tms",17,23,15.75,7,1,0,9,7,1,4,1,0,2,0.368421052,0.478260869,0.578947368,0.44563045826825226,5003
"Total","Bo Schultz","TOR",4,5,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0,0.13736860752105712,5028
"Total","Josh Fields","2 Tms",12,13,7.36363638,1,0,0,3,3,0,1,1,0,4,0.083333333,0.153846153,0.083333333,0.07340198755264282,5070
"Total","Franklin Morales","KCR",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5088
"Total","Anthony Gose","CLE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5097
"Total","Jeurys Familia","3 Tms",79,101,7.39726027,19,5,0,20,20,1,8,2,0,34,0.204301075,0.267326732,0.29032258,0.24018651427644672,5114
"Total","Alexei Ramirez","CHW",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.35906514525413513,5133
"Total","Brandon Mann","TEX",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5172
"Total","Ernesto Frieri","2 Tms",3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5178
"Total","Kelvin Marte","PIT",1,1,0,1,0,0,3,0,1,0,0,0,0,1,1,4,2.014758825302124,5200
"Total","Alex Gordon","KCR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5209
"Total","Wade LeBlanc","3 Tms",9,13,16.87500004,3,0,1,5,5,0,2,0,0,4,0.272727272,0.384615384,0.454545454,0.3608802832089938,5221
"Total","Blake Parker","5 Tms",36,39,9.89999999,6,1,0,12,11,3,1,1,1,9,0.162162162,0.205128205,0.432432432,0.25623599165364314,5224
"Total","Justin Turner","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5235
"Total","Wilmer Font","3 Tms",5,8,94.50000095,4,2,0,7,7,0,2,0,0,0,0.666666666,0.75,1,0.7040172070264816,5257
"Total","Samuel Deduno","HOU",1,2,27.00000027,1,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,5285
"Total","Brandon Crawford","SFG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5343
"Total","Jose Alvarez","3 Tms",22,25,3,3,0,0,3,2,0,4,3,0,10,0.142857142,0.28,0.142857142,0.15045038136568936,5358
"Total","Manny Banuelos","2 Tms",3,6,0,1,0,0,0,0,0,2,1,0,0,0.25,0.5,0.25,0.3119803547859192,5365
"Total","Brad Peacock","HOU",12,15,0,2,0,0,0,0,0,3,0,0,7,0.166666666,0.333333333,0.166666666,0.2558695753415426,5401
"Total","Pedro Baez","2 Tms",16,17,0,3,1,0,0,0,0,1,0,0,6,0.1875,0.235294117,0.25,0.2175891539629768,5420
"Total","Jesse Chavez","6 Tms",23,29,12.15000001,9,3,2,9,9,0,0,0,0,10,0.310344827,0.310344827,0.551724137,0.3604563515761803,5448
"Total","Arodys Vizcaino","ATL",50,67,5.02325581,10,2,0,11,8,0,10,1,0,15,0.175438596,0.298507462,0.210526315,0.23837987943129105,5498
"Total","Dana Eveland","TBR",3,6,67.49999966,4,0,0,5,5,0,0,0,0,1,0.666666666,0.666666666,0.666666666,0.5856360991795858,5508
"Total","Boone Logan","2 Tms",9,10,0,2,0,0,1,0,0,1,0,0,3,0.222222222,0.3,0.222222222,0.2443751335144043,5525
"Total","Phil Coke","TOR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5535
"Total","Arnold Leon","OAK",2,4,0,1,0,0,1,0,0,1,0,0,1,0.333333333,0.5,0.333333333,0.3919167220592499,5595
"Total","Ryan Brasier","2 Tms",18,21,8.43749999,5,0,0,6,5,0,2,0,0,8,0.263157894,0.333333333,0.263157894,0.27612584829330444,5615
"Total","Tyler Clippard","9 Tms",46,61,6.75,7,5,0,13,11,1,10,0,0,15,0.137254901,0.278688524,0.294117647,0.2618149362626623,5640
"Total","Brooks Brown","COL",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5679
"Total","Junior Guerra","2 Tms",7,8,21.59999996,2,0,0,4,4,0,1,0,0,0,0.285714285,0.375,0.285714285,0.3050473928451538,5702
"Total","Jose De Paula","NYY",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5744
"Total","Eric O'Flaherty","2 Tms",5,5,54.00000054,3,1,0,5,4,0,0,0,0,0,0.6,0.6,0.8,0.5974582552909851,5746
"Total","Hernan Perez","WSN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5751
"Total","Bruce Rondon","2 Tms",13,14,13.50000001,2,1,0,5,5,0,2,1,0,4,0.166666666,0.285714285,0.25,0.21722595508282,5766
"Total","Jhan Marinez","4 Tms",9,13,10.12500003,4,2,0,3,3,0,1,0,0,1,0.333333333,0.384615384,0.5,0.37769781626187837,5830
"Total","Jason Motte","3 Tms",14,19,12.27272726,4,1,0,6,5,1,4,1,0,4,0.266666666,0.421052631,0.533333333,0.39302244120173985,5861
"Total","Danny Salazar","CLE",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5867
"Total","Gonzalez Germen","2 Tms",4,6,54.00000054,3,1,0,4,4,1,1,0,0,0,0.6,0.666666666,1.4,0.8043074210484823,5876
"Total","Wesley Wright","BAL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5960
"Total","Jonathan Papelbon","2 Tms",33,43,7.71428572,11,1,0,13,8,0,1,1,2,6,0.275,0.325581395,0.3,0.2732628527141753,5975
"Total","Randall Delgado","ARI",12,18,9,5,0,0,4,4,0,1,1,0,2,0.294117647,0.333333333,0.294117647,0.25826384740717273,5985
"Total","Kelvin Herrera","3 Tms",53,73,6.90697675,15,1,0,13,11,1,13,4,2,15,0.258620689,0.410958904,0.327586206,0.32223503485969873,6033
"Total","David Murphy","CLE",1,5,0,2,0,0,5,0,1,1,0,1,0,0.666666666,0.8,1.666666666,0.870218288898468,6035
"Total","Huascar Brazoban","MIA",3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6107
"Total","Eduardo Escobar","2 Tms",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6153
