Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Cory Luebke","PIT",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,1984
"Total","Ivan Nova","NYY",0.2,3,13.49999993,0,1,0,0.33333333,0,0.33333333,0.333333333,1.49999999,0.5,-1,0.14656039784301766,0.14656039784301766,1994
"Total","Buddy Carlyle","NYM",0.2,4,0,13.49999993,0,0,0,0.25,-0.25,0.333333333,2.99999999,0.33333333,1,7.633593727500001,9.847104777355783,2010
"Total","Jorge De La Rosa","2 Tms",5.1,20,15.18750001,5.0625,3,1.6875,0.45,0.15,0.3,0.058823529,0.75,0,-0.38461538,3.9085121576675723,2.423893999591325,2047
"Total","Jeremy Guthrie","KCR",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.13359376500000053,0.13359376500000053,2072
"Total","Chien-Ming Wang","KCR",1.1,5,0,6.75000002,0,0,0,0.2,-0.2,0,0.75,0,1,5.396560388468018,9.144162078294613,2074
"Total","Adam Loewen","2 Tms",1,4,18,0,2,0,0.5,0,0.5,0.333333333,1,1,0.5,2.1379159609044507,2.1379159609044507,2134
"Total","Chris Narveson","MIA",0.1,3,27.00000027,0,1,54.00000054,0.33333333,0,0.33333333,0.666666666,6.00000006,0,3.75,75.14470872673847,2.1415102373166093,2141
"Total","Alfredo Simon","CIN",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,5.644961490656073,2155
"Total","Chad Qualls","2 Tms",2.1,16,7.71428569,7.71428569,1,7.71428569,0.125,0.125,0,0.5,3.85714285,0.5,0.32258065,15.14228025824038,6.059512656057848,2170
"Total","Blaine Boyer","4 Tms",10.1,52,6.96774194,5.22580645,1.33333333,0,0.15384615,0.11538462,0.03846154,0.369565217,2.22580645,0.44736842,0.17391304,3.3394127415736463,4.775248007861691,2237
"Total","Brandon Gomes","TBR",1.2,7,10.79999998,0,2,5.39999999,0.28571429,0,0.28571429,0.285714285,1.2,0.25,0,8.5335937392,2.5044025999970527,2267
"Total","Joel Peralta","2 Tms",2.1,9,7.71428569,7.71428569,1,3.85714285,0.22222222,0.22222222,0,0.142857142,1.28571428,0,1,9.571427040798298,6.06008799412597,2332
"Total","Anthony Varvaro","BOS",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,2385
"Total","Hector Rondon","3 Tms",12.2,52,6.39473685,4.2631579,1.5,1.42105263,0.17307692,0.11538462,0.05769231,0.239130434,1.34210526,0.25714286,0.42253521,5.2350821782021,5.092879336911245,2391
"Total","Cory Rasmus","LAA",2.1,12,7.71428569,7.71428569,1,0,0.16666667,0.16666667,0,0.3,2.14285714,0.375,0.2,3.9999984852880943,6.773916883602191,2413
"Total","Corey Kluber","BOS",1,3,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,8.215095621347427,2429
"Total","Lance Lynn","NYY",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,2520
"Total","Jhoulys Chacin","2 Tms",6.1,22,7.10526316,2.84210526,2.5,0,0.22727273,0.09090909,0.13636364,0.1,0.63157895,0.13333333,0.5,2.516558335612839,3.9931015715413585,2608
"Total","Scott Atchison","CLE",1,5,0,0,0,0,0,0,0,0.4,2,0.4,1,3.13359375,4.609267790615559,2642
"Total","Brian Matusz","BAL",2.1,8,0,0,0,0,0,0,0,0.125,0.42857143,0.125,1,3.135446126104554,6.2976047890838345,2646
"Total","Brett Cecil","2 Tms",10,43,5.4,3.6,1.5,1.8,0.13953488,0.09302326,0.04651163,0.23076923,1.3,0.22580645,0.29411765,5.749569956453573,4.978386393429767,2660
"Total","Joba Chamberlain","2 Tms",1,7,9,18,0.5,9,0.14285714,0.28571429,-0.14285714,0.4,4,0.33333333,0,20.142238171938565,10.283512959424167,2692
"Total","Jake Brigham","ATL",1,10,9,9,1,0,0.1,0.1,0,0.666666666,7,0.75,0.28571429,4.13359375,7.084941831231117,2851
"Total","Ross Detwiler","7 Tms",6,21,6,3,2,0,0.19047619,0.0952381,0.0952381,0.052631578,0.5,0.06666667,0,2.8328639454182616,3.893646371765597,2859
"Total","Santiago Casilla","OAK",3.2,15,12.2727273,0,5,0,0.33333333,0,0.33333333,0.266666666,1.09090909,0.4,0.75,0.4313821916404166,1.4016401746615272,2873
"Total","Luis Avilan","6 Tms",16.1,70,9.91836736,4.40816327,2.25,0.55102041,0.25714286,0.11428571,0.14285714,0.25,1.40816327,0.34146341,0.42372881,3.5854000718145715,4.215246211550507,2882
"Total","Zach McAllister","CLE",11,49,13.0909091,4.90909091,2.66666667,0,0.32653061,0.12244898,0.20408163,0.238095238,1.45454546,0.38461538,0.41176471,2.1458767563866017,3.4818574452302222,2895
"Total","Jeff Locke","PIT",0.2,3,0,0,0,0,0,0,0,0.333333333,1.49999999,0.33333333,1,3.1465603828430178,5.644961490656073,2929
"Total","Josh Ravin","LAD",1.1,11,20.25000005,27.00000007,0.75,0,0.27272727,0.36363636,-0.09090909,0.333333333,4.50000001,0.66666667,0.57142857,9.901628225080486,11.235732952644131,2951
"Total","Kenley Jansen","LAD",0.2,3,27.00000027,13.50000014,2,0,0.66666667,0.33333333,0.33333333,0,1.50000002,0,1,1.7027143805230718,1.7027143805230718,3096
"Total","Tony Watson","4 Tms",16.1,66,8.81632652,4.95918367,1.77777778,1.10204082,0.24242424,0.13636364,0.10606061,0.142857142,1.04081633,0.15789474,0.72368421,4.638960696688912,4.698677288657626,3132
"Total","Tim Collins","2 Tms",2.1,11,3.85714286,3.85714286,1,3.85714286,0.09090909,0.09090909,0,0.3,1.71428572,0.25,0.76923077,9.183393541493462,5.880151855999175,3164
"Total","David Price","2 Tms",5,22,9,3.6,2.5,0,0.22727273,0.09090909,0.13636364,0.25,1.4,0.33333333,0.85714286,2.3415000756883018,3.9951539477013935,3184
"Total","Will Harris","2 Tms",19.1,79,9.31034482,2.32758621,4,0.93103448,0.25316456,0.06329114,0.18987342,0.216216216,1.0862069,0.26923077,0.27472527,3.218592045215883,3.179045910058813,3192
"Total","Chris Young","KCR",4.1,18,12.46153844,2.07692307,6,2.07692307,0.33333333,0.05555556,0.27777778,0.176470588,0.92307692,0.2,-0.38461538,4.070906278223715,2.476896173456819,3196
"Total","Ervin Santana","KCR",0.2,3,13.49999993,0,1,0,0.33333333,0,0.33333333,0.333333333,1.49999999,0.5,1,0.1700341374670411,2.8165773141175574,3200
"Total","Francisco Liriano","2 Tms",6,25,7.5,6,1.25,3,0.2,0.16,0.04,0.19047619,1.33333333,0.14285714,0,7.87754448787854,5.864951350157318,3201
"Total","Jean Machi","3 Tms",3.1,12,8.10000001,2.7,3,0,0.25,0.08333333,0.16666667,0.09090909,0.6,0.125,1,2.235998343499746,4.006807194009225,3220
"Total","T.J. McFarland","4 Tms",14,61,5.78571429,2.57142857,2.25,0.64285714,0.14754098,0.06557377,0.08196721,0.245614035,1.28571429,0.27659574,-0.12048193,3.6656263362852988,3.830811162476281,3237
"Total","Zack Britton","2 Tms",4.1,27,8.30769233,20.76923083,0.4,0,0.14814815,0.37037037,-0.22222222,0.294117647,3.46153847,0.38461538,0.66666667,8.243511276746142,8.702558789378575,3240
"Total","Roberto Hernandez","HOU",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,3273
"Total","Joe Smith","7 Tms",15,64,9.60000001,2.4,4,0.6,0.25,0.0625,0.1875,0.254237288,1.26666667,0.33333333,0.48387097,2.888227796372277,3.2917489320907007,3281
"Total","Nate Adcock","CIN",0.1,5,27.00000027,54.00000054,0.5,27.00000027,0.2,0.4,-0.2,0.666666666,12.00000012,1,0.38461538,54.13359426000001,19.560616036116897,3282
"Total","Anibal Sanchez","2 Tms",2,8,4.5,4.5,1,0,0.125,0.125,0,0.142857142,1,0.16666667,0.5,3.6525653521173362,5.374768875037945,3284
"Total","Hector Noesi","2 Tms",1,8,9,9,1,0,0.125,0.125,0,0.571428571,5,0.66666667,0.6,4.160398991634617,7.111747072865734,3292
"Total","Charlie Culberson","ATL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1914193153381354,8.97626450184202,3298
"Total","Chris Hatcher","2 Tms",6.2,35,8.1,8.1,1,5.4,0.17142857,0.17142857,0,0.310344827,2.25,0.26315789,0.31914894,11.85112778705798,7.055958758580598,3299
"Total","Darren O'Day","3 Tms",9.1,37,13.50000002,4.82142858,2.8,0,0.37837838,0.13513514,0.24324324,0.125,0.96428572,0.22222222,1,1.7586190459046156,3.5906244593760714,3321
"Total","Matt Garza","MIL",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.1576396942138674,3.1576396942138674,3340
"Total","Cesar Ramos","2 Tms",5,29,7.2,3.6,2,3.6,0.13793103,0.06896552,0.06896552,0.423076923,2.6,0.45,0.35714286,8.536187076568604,6.439476522803306,3357
"Total","Miguel Montero","CHC",0.1,2,0,0,0,0,0,0,0,0,0,0,1,12.146560472843019,12.14656047284302,3364
"Total","Ubaldo Jimenez","BAL",1,4,9,9,1,0,0.25,0.25,0,0,1,0,1,4.1539465904605155,5.819547337330556,3374
"Total","Jumbo Diaz","2 Tms",6,28,4.5,4.5,1,1.5,0.10714286,0.10714286,0,0.28,1.66666667,0.28571429,0.23255814,5.811982425060069,6.382956426100131,3397
"Total","Danny Duffy","KCR",1.2,8,10.80000004,10.80000004,1,5.40000002,0.25,0.25,0,0.166666666,1.80000001,0,0,12.136187112553044,7.2203124135029295,3542
"Total","Clay Buchholz","BOS",0.1,3,0,0,0,0,0,0,0,0.666666666,6.00000006,0.66666667,-0.5,3.146560382843018,13.140164963999311,3543
"Total","Carlos Frias","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,3547
"Total","Liam Hendriks","3 Tms",11.2,48,13.88571428,6.17142857,2.25,0,0.375,0.16666667,0.20833333,0.125,1.11428571,0.22727273,0.46153846,2.137747887505027,4.02958421832348,3548
"Total","Clayton Richard","CHC",0.2,8,0,13.50000014,0,0,0,0.125,-0.125,0.666666666,7.50000008,0.66666667,0.16666667,12.140077156421508,12.140077156421512,3551
"Total","Tony Barnette","TEX",8,36,7.875,1.125,7,2.25,0.19444444,0.02777778,0.16666667,0.285714285,1.375,0.30769231,0.36585366,5.0280269900899945,3.9166306997281137,3555
"Total","Brian Schlitter","CHC",0,1,0,0,0,9,0,0,0,1,1,0,1,16.13359375,4.609267790615559,3599
"Total","Jim Johnson","3 Tms",6,31,7.5,4.5,1.66666667,1.5,0.16129032,0.09677419,0.06451613,0.321428571,2,0.36363636,-0.09433962,5.149018663831779,4.596518609591552,3656
"Total","Logan Ondrusek","BAL",0.2,3,13.49999993,0,1,0,0.33333333,0,0.33333333,0.333333333,1.49999999,0.5,0,0.14656039784301766,0.14656039784301766,3677
"Total","Cesar Jimenez","MIL",1.2,8,5.39999999,0,1,0,0.125,0,0.125,0.375,1.8,0.42857143,0.66666667,1.9335937524000002,2.8189981749985265,3762
"Total","Zach Duke","5 Tms",11.2,53,10.8,7.71428571,1.4,0,0.26415094,0.18867925,0.0754717,0.209302325,1.62857143,0.31034483,0.05263158,3.3269055229685254,4.004579240682402,3840
"Total","Brett Oberholtzer","2 Tms",3,16,9,6,1.5,6,0.1875,0.125,0.0625,0.285714285,2,0.22222222,0.625,11.813227049509685,5.92256162762642,3855
"Total","Rubby De La Rosa","ARI",1,5,9,9,1,9,0.2,0.2,0,0.25,2,0,-1.66666667,17.157639694213866,7.71525229215622,3862
"Total","Gavin Floyd","2 Tms",2.1,14,11.57142859,3.85714286,3,0,0.21428571,0.07142857,0.14285714,0.461538461,3,0.6,0.57142857,1.8534365908182124,2.5672654833536996,3886
"Total","Enrique Burgos","ARI",3,14,3,3,1,3,0.07142857,0.07142857,0,0.384615384,2,0.36363636,-0.2173913,7.80458262761434,6.485906277596952,3895
"Total","Casey Fien","3 Tms",8.2,33,9.34615384,4.15384615,2.25,0,0.27272727,0.12121212,0.15151515,0.172413793,1.03846154,0.25,0.44444444,2.447624195812117,4.237983491028154,3926
"Total","Matt Magill","3 Tms",5.2,23,11.11764707,4.76470589,2.33333333,1.5882353,0.30434783,0.13043478,0.17391304,0.15,1.05882353,0.16666667,0,4.598416268435033,3.2870814474141388,3950
"Total","David Carpenter","2 Tms",1,5,0,18,0,0,0,0.4,-0.4,0,2,0,1,9.13359375,12.084941831231117,3959
"Total","Edward Mujica","3 Tms",1.2,7,0,5.40000002,0,0,0,0.14285714,-0.14285714,0.166666666,1.2,0.16666667,0.5,4.938402946013919,5.823807373924872,3970
"Total","Edinson Volquez","TEX",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2140094757080084,9.181627181243904,3990
"Total","Allen Webster","2 Tms",1.1,6,6.75000002,0,1,6.75000002,0.16666667,0,0.16666667,0.333333333,1.5,0.25,0,11.43051109017403,6.6246378741367,3993
"Total","Enny Romero","3 Tms",8.2,40,13.50000001,6.23076924,2.16666667,2.07692308,0.325,0.15,0.175,0.205882352,1.5,0.26315789,0.29411765,5.226709503163946,3.9517291136014387,4001
"Total","Yusmeiro Petit","4 Tms",25,87,7.56,1.8,4.2,0,0.24137931,0.05747126,0.18390805,0.097560975,0.52,0.13114754,0.53846154,2.09635496730985,4.302851696553102,4020
"Total","Hector Santiago","2 Tms",2,8,9.00000005,4.50000002,2,0,0.25,0.125,0.125,0,0.5,0,0,2.670961647659955,5.317179699986447,4026
"Total","Steve Johnson","2 Tms",0.2,3,13.49999993,0,1,13.49999993,0.33333333,0,0.33333333,0.333333333,1.49999999,0,2.5,19.63878032065277,4.850692575821606,4053
"Total","Brian Duensing","3 Tms",4.2,20,5.78571428,9.64285714,0.6,0,0.15,0.25,-0.1,0.066666666,1.28571428,0.08333333,0.16666667,5.0762399455128016,7.484621742230193,4064
"Total","Pedro Strop","2 Tms",13,58,11.76923078,6.92307693,1.7,1.38461539,0.29310345,0.17241379,0.12068966,0.166666666,1.38461539,0.20689655,0.65789474,4.849554190152929,4.0467020134055325,4070
"Total","Junichi Tazawa","3 Tms",12,49,8.99999999,4.5,2,1.5,0.24489796,0.12244898,0.12244898,0.162790697,1.08333333,0.17241379,0.19607843,4.813420988392585,4.8450219659708385,4079
"Total","Dan Runzler","PIT",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.157639724213867,6.157639724213867,4080
"Total","Erik Cordier","MIA",1,4,9,9,1,0,0.25,0.25,0,0,1,0,1,4.13359375,5.609267790615559,4086
"Total","James Russell","2 Tms",2,8,4.5,0,1,0,0.125,0,0.125,0.25,1,0.28571429,0,2.137915960947673,4.351427021871011,4089
"Total","Luke Gregerson","2 Tms",2.2,10,3.37500001,3.37500001,1,0,0.1,0.1,0,0.111111111,0.75,0.125,-0.5,3.53160376643294,4.198656130214761,4090
"Total","Carlos Villanueva","2 Tms",4.2,17,7.71428573,1.92857143,4,0,0.23529412,0.05882353,0.17647059,0.3125,1.28571429,0.41666667,0.66666667,2.0714270576469413,3.8153007090158444,4138
"Total","Derek Holland","4 Tms",4.2,21,3.85714286,3.85714286,1,3.85714286,0.0952381,0.0952381,0,0.166666666,1.07142857,0.07142857,-0.625,9.831091027188224,7.989666473164313,4141
"Total","Edward Paredes","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,4168
"Total","Rafael Dolis","TOR",2.2,12,6.74999999,10.12499999,0.66666667,0,0.16666667,0.25,-0.08333333,0.111111111,1.5,0.14285714,1,5.053053567439926,7.0994308009055,4185
"Total","David Hernandez","4 Tms",17,68,11.11764705,4.76470588,2.33333333,0,0.30882353,0.13235294,0.17647059,0.169491525,1.11764706,0.26315789,0.63157895,2.279369236955677,3.875275644410993,4259
"Total","Mark Melancon","4 Tms",5.1,22,5.06249999,3.375,1.5,0,0.13636364,0.09090909,0.04545455,0.2,1.125,0.23529412,0.16666667,3.172027704160556,4.82599526422468,4264
"Total","Manny Parra","CIN",2,11,9,4.5,2,0,0.18181818,0.09090909,0.09090909,0.4,2.5,0.5,0.2,2.63359375,4.847104810923338,4279
"Total","Matt Albers","3 Tms",13.2,61,9.87804878,5.92682927,1.66666667,0,0.24590164,0.14754098,0.09836066,0.18,1.31707317,0.25,0.57894737,3.159331570601632,4.0058070649209565,4300
"Total","Justin Wilson","5 Tms",22.1,94,10.88059702,3.62686567,3,1.20895522,0.28723404,0.09574468,0.19148936,0.235294117,1.29850746,0.30909091,0.60483871,3.697752904976044,3.4643697024328963,4301
"Total","Tyler Chatwood","3 Tms",4,19,6.75000002,6.75000002,1,2.25000001,0.15789474,0.15789474,0,0.2,1.5,0.18181818,0.71428571,7.931259079730037,6.036165894753104,4338
"Total","Kyle Drabek","CHW",0.1,2,0,0,0,27.00000027,0,0,0,0.5,3.00000003,0,1,42.13359414000001,11.987638082233797,4359
"Total","Craig Breslow","3 Tms",4,22,6.75000002,4.50000001,1.5,2.25000001,0.13636364,0.09090909,0.04545455,0.4,2.50000001,0.4375,0.46511628,6.39268962559177,6.388048865679956,4363
"Total","Jonathon Niese","2 Tms",0.1,3,0,0,0,0,0,0,0,0.666666666,6.00000006,0.66666667,0.5,3.1368354081864416,8.133637698764588,4424
"Total","Jordan Zimmermann","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1914193153381354,3.1914193153381354,4505
"Total","Mitch Harris","STL",1.1,6,6.75000002,6.75000002,1,6.75000002,0.16666667,0.16666667,0,0.2,1.5,0,-3.33333333,13.63359377625,8.31061588478923,4530
"Total","Jason Hammel","KCR",0.1,0,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,4538
"Total","Chris Smith","OAK",0.2,3,0,0,0,0,0,0,0,0.333333333,1.50000002,0.33333333,-1,3.152100038528443,8.318710658956375,4544
"Total","Joe Thatcher","HOU",1.1,4,6.75000002,0,1,0,0.25,0,0.25,0,0,0,1,1.6335937462500005,3.847104812707116,4620
"Total","Brandon McCarthy","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,4662
"Total","Sam LeCure","CIN",1.2,5,0,5.39999999,0,0,0,0.2,-0.2,0,0.6,0,1,4.9335937464,4.933593746400001,4664
"Total","Pat Neshek","3 Tms",13.2,46,9.2195122,0,14,1.31707317,0.30434783,0,0.30434783,0.108695652,0.36585366,0.1,-0.90909091,3.007086583965363,2.975808855614946,4682
"Total","Jeff Francis","TOR",0.2,4,13.49999993,0,1,13.49999993,0.25,0,0.25,0.5,2.99999999,0.5,0,19.6335936675,4.560615864711566,4684
"Total","Nate Jones","4 Tms",8.2,34,11.42307693,2.07692308,5.5,1.03846154,0.32352941,0.05882353,0.26470588,0.161290322,0.80769231,0.21052632,0.75757576,3.160220612029742,2.6985743304918635,4696
"Total","Matt Cain","SFG",0.1,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,4732
"Total","Sergio Santos","2 Tms",0.2,3,0,0,0,0,0,0,0,0.333333333,1.50000002,0.33333333,0,3.13359375,5.347104833058449,4734
"Total","Donnie Veal","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,4741
