Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Rich Hill","SDP",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.74495970050293,-2.74495970050293,4806
"Total","Justin De Fratus","PHI",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.13359375,3.13359375,4955
"Total","Fernando Abad","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.15210000852844274,0.15210000852844274,4994
"Total","Jake Diekman","4 Tms",1.2,3,0,0,0,0,0,0,0,0,0,0,1,3.188462274785312,3.188462274785312,5003
"Total","Josh Fields","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,5070
"Total","Jeurys Familia","OAK",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.160431605775147,6.160431605775147,5114
"Total","Wade LeBlanc","PIT",0,2,0,0,0,0,0,0,0,0.5,1,0.5,0,3.1465603828430178,3.1465603828430178,5221
"Total","Jose Alvarez","LAA",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,5358
"Total","Manny Banuelos","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1124310016632077,3.1124310016632077,5365
"Total","Pedro Baez","LAD",0,1,0,0,0,0,0,0,0,1,1,1,-3,3.1521000385284426,3.1521000385284426,5420
"Total","Jesse Chavez","2 Tms",0.1,2,27.00000027,0,1,0,0.5,0,0.5,0.5,3.00000003,1,0,-2.851568627662838,-2.851568627662838,5448
"Total","Dana Eveland","TBR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,5508
"Total","Boone Logan","COL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,5525
"Total","Phil Coke","NYY",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,5535
"Total","Ryan Brasier","LAD",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,3.2550403594970705,5615
"Total","Tyler Clippard","MIN",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,1,3.1914193153381354,3.1914193153381354,5640
"Total","Brooks Brown","COL",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,5679
"Total","Junior Guerra","ARI",0.1,3,0,54.00000054,0,0,0,0.66666667,-0.66666667,0,6.00000006,0,1,21.191419495338135,21.19141949533814,5702
"Total","Eric O'Flaherty","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,5746
"Total","Bruce Rondon","CHW",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,5766
"Total","Randall Delgado","ARI",0.1,2,0,27.00000027,0,0,0,0.5,-0.5,0,3.00000003,0,-2,12.136835498186443,17.133637788764588,5985
"Total","Kelvin Herrera","KCR",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,6033
"Total","Dellin Betances","NYY",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,6216
"Total","Tom Gorzelanny","DET",0.1,2,0,0,0,0,0,0,0,1,6.00000006,1,1,3.13359375,7.560615916116898,6244
"Total","Scott Feldman","TOR",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,6283
"Total","David Phelps","MIA",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,6316
"Total","Al Alburquerque","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,6324
"Total","Chris Archer","TBR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.170034122467041,3.170034122467041,6345
"Total","Jose Cisnero","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1700341224670407,8.46312055516437,6399
"Total","Steve Cishek","2 Tms",1,4,0,0,0,0,0,0,0,0.333333333,1,0.33333333,0.5,6.183092149188011,6.183092149188011,6483
"Total","Blaine Hardy","DET",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.15349594930908195,0.15349594930908195,6499
"Total","Marc Rzepczynski","SDP",0,1,0,0,0,0,0,0,0,1,1,1,0,3.13359375,3.13359375,6612
"Total","Brad Brach","BAL",0.2,3,26.99999987,0,2,13.49999993,0.66666667,0,0.66666667,0.333333333,1.49999999,0,1,16.648021248999466,-0.1837692183848172,6627
"Total","Alex Colome","TBR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,6661
"Total","Andrew Miller","2 Tms",0.2,2,13.50000014,0,1,0,0.5,0,0.5,0,0,0,1,0.17635027742670317,0.17635027742670317,6785
"Total","Robbie Ross Jr.","BOS",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,6819
"Total","Sam Freeman","2 Tms",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.144328880342264,3.144328880342264,6832
"Total","Jeff Manship","CLE",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,6865
"Total","Martin Perez","MIN",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.214009475708008,3.214009475708008,6902
"Total","Joakim Soria","KCR",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,6941
"Total","Luke Hochevar","KCR",0,2,0,9,0,0,0,0.5,-0.5,1,2,1,1,6.146560382843018,6.146560382843018,6943
"Total","Luis Garcia","2 Tms",0,2,0,9,0,0,0,0.5,-0.5,1,2,1,0,6.234524917602539,6.234524917602539,6984
"Total","Ryan Pressly","2 Tms",0.1,3,0,0,0,0,0,0,0,0.5,3.00000003,0.5,0,12.163422745932799,12.1634227459328,7005
"Total","Alex Torres","NYM",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,7038
"Total","Fernando Cruz","CIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,3.2550403594970705,7048
"Total","Chris Withrow","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1465603828430178,3.1465603828430178,7161
"Total","Nick Masset","MIA",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,7267
"Total","Craig Stammen","SDP",1,2,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,7274
"Total","Brad Ziegler","MIA",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.1576396942138674,3.1576396942138674,7293
"Total","Casey Janssen","WSN",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,7.560615916116898,7355
