Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","DET",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Total","Xavier Cedeno","2 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"Total","Randy Choate","STL",0.2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,813
"Total","Scott Carroll","CHW",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,888
"Total","Joe Beimel","SEA",0.2,4,2,0,0.666666666,0.333333333,0,0,0,0,0.25,0.5,0.25,0,0.75,0.25,979
"Total","Ryan Vogelsong","2 Tms",1.1,7,4,0.166666666,0.666666666,0.166666666,0,0,0.25,0,0.5,0.33333333,0.16666667,0.16666667,0.33333333,0.5,1011
"Total","Jake Peavy","SFG",0.1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1051
"Total","Joe Nathan","CHC",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122
"Total","Tommy Hunter","2 Tms",1.1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1157
"Total","Matt Bush","TEX",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1246
"Total","Adam Ottavino","2 Tms",2.1,11,1.333333333,0,0.571428571,0.428571428,0,0,0.5,0,0.28571429,0.57142857,0.14285714,0.28571429,0.42857143,0.28571429,1247
"Total","Blake Wood","CIN",1.2,8,3,0.2,0.6,0.2,0,1,0.666666666,0,0.2,0.4,0.4,0.4,0.4,0.2,1345
"Total","Nick Hagadone","CLE",0.1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1351
"Total","Andrew Bailey","PHI",0.1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1368
"Total","Joaquin Benoit","PHI",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1437
"Total","Oliver Perez","3 Tms",1.2,5,0.5,0,0.333333333,0.666666666,0,0,0,0,0,1,0,0,0.66666667,0.33333333,1514
"Total","Sean Doolittle","3 Tms",1,6,1,0.5,0.25,0.25,0,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,1581
"Total","Javier Lopez","SFG",0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1663
