Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Neftali Feliz","4 Tms",6,30,0.666666666,0.25,0.3,0.45,0,0.222222222,0,0,0.3,0.4,0.3,0.15,0.4,0.45,18
"Total","Xavier Cedeno","5 Tms",6.2,27,3,0.25,0.5625,0.1875,0.333333333,0.333333333,0,0,0.5,0.375,0.125,0.1875,0.5625,0.25,36
"Total","Rafael Betancourt","COL",3.2,17,0.833333333,0,0.454545454,0.545454545,0,0,0.2,0,0.36363636,0.45454545,0.18181818,0,0.72727273,0.27272727,177
"Total","Bartolo Colon","TEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375
"Total","Fernando Rodney","8 Tms",13,57,1.888888888,0.212121212,0.515151515,0.272727272,0.111111111,0.222222222,0,0,0.42424242,0.39393939,0.18181818,0.3030303,0.3030303,0.39393939,494
"Total","Jason Grilli","3 Tms",8,34,0.454545454,0.157894736,0.263157894,0.578947368,0.181818181,0.181818181,0,0,0.36842105,0.21052632,0.42105263,0.31578947,0.52631579,0.15789474,521
"Total","Jeremy Affeldt","SFG",2,9,1,0,0.5,0.5,0,0,0,0,0.16666667,0.33333333,0.5,0.16666667,0.83333333,0,583
"Total","Rhiner Cruz","TOR",0.2,3,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,711
"Total","Grant Balfour","TBR",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,718
"Total","LaTroy Hawkins","2 Tms",1.2,8,5,0,0.833333333,0.166666666,0,0,0,0,0,0.5,0.5,0.16666667,0.33333333,0.5,729
"Total","Kyle Lohse","MIL",1.1,7,2,0.5,0.333333333,0.166666666,0,0,0,0,0.16666667,0.5,0.33333333,0.5,0.16666667,0.33333333,739
"Total","Randy Choate","STL",2.2,11,3,0.111111111,0.666666666,0.222222222,0,0,0,0,0.22222222,0.44444444,0.33333333,0,0.88888889,0.11111111,813
"Total","Scott Carroll","CHW",2,8,3,0.25,0.75,0,0,0,0,0,0.75,0.25,0,0,1,0,888
"Total","Barry Zito","OAK",0.1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,944
"Total","Joe Beimel","SEA",3.1,13,1.666666666,0.111111111,0.555555555,0.333333333,0,0,0.2,0,0.44444444,0.44444444,0.11111111,0.22222222,0.66666667,0.11111111,979
"Total","Aaron Thompson","MIN",2.1,9,3,0.428571428,0.428571428,0.142857142,0,0,0,0,0.28571429,0.57142857,0.14285714,0.14285714,0.28571429,0.57142857,999
"Total","Ryan Vogelsong","2 Tms",0.1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1011
"Total","Jake Peavy","SFG",0.1,3,1,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,1051
"Total","Rafael Soriano","CHC",0.2,2,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0.5,1100
"Total","Ichiro Suzuki","MIA",0.1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1101
"Total","Marco Estrada","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118
"Total","Joe Nathan","SFG",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122
"Total","Jerome Williams","2 Tms",1.2,8,2,0.25,0.5,0.25,0,0,0,0,0.5,0.5,0,0,0.75,0.25,1137
"Total","Tommy Hunter","6 Tms",20,92,2,0.130434782,0.579710144,0.289855072,0.2,0.1,0.075,0,0.4057971,0.30434783,0.28985507,0.2173913,0.50724638,0.27536232,1157
"Total","Andrew Romine","2 Tms",0.2,4,3,0,1,0,0,0,0,0,0.66666667,0,0.33333333,0,0.33333333,0.66666667,1159
"Total","Matt Bush","2 Tms",14.1,59,0.846153846,0.294117647,0.323529411,0.382352941,0.23076923,0.076923076,0,0,0.41176471,0.47058824,0.11764706,0.20588235,0.47058824,0.32352941,1246
"Total","Adam Ottavino","4 Tms",38,170,1.40625,0.125,0.511363636,0.363636363,0.09375,0.15625,0.111111111,0,0.375,0.40909091,0.21590909,0.21590909,0.56818182,0.21590909,1247
"Total","Blake Wood","2 Tms",9.1,40,1.75,0.153846153,0.538461538,0.307692307,0.125,0.125,0.142857142,0,0.26923077,0.38461538,0.34615385,0.11538462,0.69230769,0.19230769,1345
"Total","Nick Hagadone","CLE",0.1,5,2,0.5,0.5,0,0,0,0,0,0.75,0.25,0,0.25,0.5,0.25,1351
"Total","Andrew Bailey","3 Tms",2.2,9,0.2,0,0.166666666,0.833333333,0.6,0.2,0,0,0.33333333,0,0.66666667,0.66666667,0.16666667,0.16666667,1368
"Total","Charlie Furbush","SEA",1,3,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,1370
"Total","Joaquin Benoit","5 Tms",20.1,80,1.294117647,0.22,0.44,0.34,0.117647058,0.058823529,0.045454545,0,0.44,0.22,0.34,0.18,0.44,0.38,1437
"Total","Felix Doubront","OAK",0.2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1478
"Total","Jon Edwards","3 Tms",2.1,12,0.666666666,0,0.4,0.6,0,0,0,0,0.4,0.4,0.2,0,0.8,0.2,1483
"Total","Oliver Perez","4 Tms",10.2,57,1.8,0.176470588,0.529411764,0.294117647,0.1,0,0.277777777,0,0.5,0.23529412,0.26470588,0.23529412,0.41176471,0.35294118,1514
"Total","Sean Doolittle","3 Tms",8,41,0.333333333,0.111111111,0.222222222,0.666666666,0.166666666,0.166666666,0,0,0.48148148,0.25925926,0.25925926,0.22222222,0.44444444,0.33333333,1581
"Total","Francisco Rodriguez","2 Tms",2.2,13,3,0.2,0.6,0.2,0,1,0,0,0.3,0.4,0.3,0.1,0.6,0.3,1642
"Total","Javier Lopez","SFG",4.2,16,9,0,0.9,0.1,0,0,0,0,0.2,0.7,0.1,0.3,0.6,0.1,1663
"Total","Chris Capuano","2 Tms",2,9,0,0,0,1,0,0.333333333,0,0,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,1701
"Total","Jose Reyes","NYM",0.1,3,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,1,0,1736
